"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","www.blogger.com","30,708,566","100"
"2","youtube.com","23,249,650","100"
"3","www.google.com","14,770,205","100"
"4","microsoft.com","5,377,908","99"
"5","linkedin.com","12,451,234","99"
"6","support.google.com","5,639,278","99"
"7","apple.com","6,638,735","99"
"8","play.google.com","3,908,637","99"
"9","youtu.be","5,277,643","98"
"10","en.wikipedia.org","7,071,561","98"
"11","maps.google.com","5,994,546","98"
"12","cloudflare.com","7,121,786","98"
"13","docs.google.com","3,440,403","98"
"14","whatsapp.com","4,172,625","98"
"15","wordpress.org","12,277,156","98"
"16","europa.eu","2,326,435","97"
"17","googleusercontent.com","3,619,794","97"
"18","plus.google.com","10,863,468","97"
"19","drive.google.com","2,527,934","97"
"20","mozilla.org","2,492,157","97"
"21","adobe.com","2,862,612","97"
"22","accounts.google.com","2,542,975","97"
"23","bp.blogspot.com","18,127,193","97"
"24","sites.google.com","2,301,009","97"
"25","vk.com","1,817,418","96"
"26","facebook.com","59,529,566","96"
"27","istockphoto.com","3,678,882","96"
"28","amazon.com","5,028,691","96"
"29","uol.com.br","688,962","96"
"30","policies.google.com","3,115,854","96"
"31","github.com","2,975,694","96"
"32","vimeo.com","3,573,978","96"
"33","t.me","1,451,473","96"
"34","slideshare.net","1,003,627","95"
"35","dropbox.com","1,110,007","95"
"36","enable-javascript.com","9,267,712","95"
"37","tools.google.com","1,797,143","95"
"38","search.google.com","1,612,290","95"
"39","jimdofree.com","1,708,641","95"
"40","medium.com","1,798,637","95"
"41","nih.gov","1,513,888","95"
"42","globo.com","460,664","95"
"43","ok.ru","371,034","95"
"44","google.de","1,103,506","95"
"45","bbc.co.uk","1,746,651","95"
"46","draft.blogger.com","12,367,148","95"
"47","myspace.com","1,370,324","95"
"48","tiktok.com","1,038,096","95"
"49","files.wordpress.com","7,664,949","95"
"50","www.weebly.com","5,853,046","95"
"51","feedburner.com","1,822,226","95"
"52","wikimedia.org","2,088,929","95"
"53","news.google.com","851,944","95"
"54","live.com","1,006,468","95"
"55","creativecommons.org","1,752,665","95"
"56","google.co.jp","654,458","95"
"57","brandbucket.com","11,170,416","95"
"58","who.int","2,028,361","95"
"59","theguardian.com","1,601,140","95"
"60","msn.com","1,097,451","95"
"61","opera.com","991,921","95"
"62","www.yahoo.com","1,334,460","95"
"63","cnn.com","1,662,677","95"
"64","gstatic.com","633,478","95"
"65","imdb.com","1,539,295","95"
"66","developers.google.com","1,132,581","95"
"67","google.com.br","298,238","95"
"68","mail.google.com","659,086","95"
"69","fr.wikipedia.org","647,719","95"
"70","gravatar.com","12,568,741","95"
"71","es.wikipedia.org","976,644","95"
"72","pt.wikipedia.org","421,773","95"
"73","paypal.com","1,160,237","95"
"74","line.me","1,003,643","95"
"75","buydomains.com","1,304,124","95"
"76","forbes.com","1,460,493","95"
"77","netvibes.com","1,231,285","95"
"78","shopify.com","2,970,165","95"
"79","nytimes.com","2,205,144","95"
"80","dailymotion.com","1,132,067","95"
"81","google.es","480,013","95"
"82","de.wikipedia.org","680,094","94"
"83","elpais.com","436,145","94"
"84","forms.gle","857,423","94"
"85","namecheap.com","1,131,703","94"
"86","goo.gl","4,916,063","94"
"87","godaddy.com","2,620,166","94"
"88","dan.com","3,544,566","94"
"89","pixabay.com","497,846","94"
"90","plesk.com","701,661","94"
"91","fandom.com","645,295","94"
"92","amazon.co.uk","798,554","94"
"93","photos.google.com","277,969","94"
"94","nature.com","651,159","94"
"95","mirror.co.uk","425,598","94"
"96","huffingtonpost.com","1,074,114","94"
"97","dailymail.co.uk","1,136,757","94"
"98","aliexpress.com","530,533","94"
"99","twitter.com","60,124,091","94"
"100","marketingplatform.google....","901,640","94"
"101","w3.org","1,133,933","94"
"102","independent.co.uk","781,497","94"
"103","planalto.gov.br","123,160","94"
"104","amazon.de","563,440","94"
"105","ru.wikipedia.org","380,578","94"
"106","yadi.sk","148,390","94"
"107","shutterstock.com","552,111","94"
"108","wsj.com","1,000,391","94"
"109","cbsnews.com","701,288","94"
"110","bbc.com","924,193","94"
"111","wp.com","2,203,357","94"
"112","telegram.me","412,915","94"
"113","time.com","849,934","94"
"114","bit.ly","5,061,481","94"
"115","huffpost.com","1,214,973","94"
"116","abril.com.br","276,865","94"
"117","office.com","698,049","94"
"118","t.co","2,216,552","94"
"119","4shared.com","562,732","94"
"120","www.gov.uk","649,221","94"
"121","telegraph.co.uk","1,008,445","94"
"122","pinterest.com","8,793,311","94"
"123","networkadvertising.org","768,403","94"
"124","terra.com.br","200,254","94"
"125","soundcloud.com","1,859,620","94"
"126","amazon.es","197,180","94"
"127","change.org","505,792","94"
"128","ytimg.com","1,020,913","94"
"129","hatena.ne.jp","1,580,431","94"
"130","storage.googleapis.com","1,017,963","94"
"131","mail.ru","482,767","94"
"132","thesun.co.uk","428,319","94"
"133","google.co.uk","600,403","94"
"134","bing.com","1,061,440","94"
"135","fb.com","475,742","94"
"136","un.org","630,959","94"
"137","cpanel.net","1,921,442","94"
"138","scribd.com","773,199","94"
"139","news.yahoo.com","690,706","94"
"140","foxnews.com","599,116","94"
"141","cnet.com","753,106","94"
"142","google.fr","418,194","94"
"143","samsung.com","415,423","94"
"144","usatoday.com","890,519","94"
"145","nasa.gov","696,896","94"
"146","myaccount.google.com","368,168","94"
"147","google.it","440,822","94"
"148","indiatimes.com","500,830","94"
"149","hugedomains.com","16,102,804","94"
"150","youronlinechoices.com","584,989","94"
"151","archive.org","1,243,480","94"
"152","google.pl","199,182","94"
"153","mediafire.com","870,177","94"
"154","adssettings.google.com","437,131","94"
"155","aboutads.info","673,399","94"
"156","webmd.com","859,192","94"
"157","wa.me","1,643,030","94"
